ID_V;Date;V_gr;V_tal;V_b;V_l_b;V_r_b;V_r_pl;V_l_pl;b_spi
1;08.01.2018;111;99;115;69;69;36;0;0
2;28.02.2018;108;95;113;63;63;35;0;0
3;21.04.2018;108;94;112;65;65;36;0;0
4;14.06.2018;108;97;112;65;65;36;0;0
5;26.07.2018;109;96;111;65;66;35;0;0
6;08.09.2018;111;98;116;66;68;37;0;0
7;04.10.2018;109;97;111;61;61;35,5;0;0
8;09.11.2018;109;92;111;62;60;35;0;0
9;17.12.2018;108;90;111;61;62;36;0;0
10;31.01.2019;108;92;110;63,5;65;34;0;0
11;02.03.2019;108;93;110;61;61;33,5;0;0
12;04.04.2019;106;92;109;61;61;34;0;0
13;07.05.2019;108;94;111;62;60;34;0;0
14;13.06.2019;107;91;110;63;61;35,5;0;0
15;17.07.2019;104;90;107;60;62;34;0;0
16;28.08.2019;108;91;110;63;63;34;0;40
